,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
32,FDP33,18.7,Low Fat,High,Snack Foods,256.67,OUT018,2009,Medium,Tier 3,Supermarket Type2,3068.01
33,FDO23,17.85,Low Fat,High,Breads,93.14,OUT045,2002,NA,Tier 2,Supermarket Type1,2174.5
34,DRH01,17.5,Low Fat,High,Soft Drinks,174.87,OUT046,1997,Small,Tier 1,Supermarket Type1,2085.29
35,NCX29,10.0,Low Fat,High,Health and Hygiene,146.71,OUT049,1999,Medium,Tier 1,Supermarket Type1,3791.07
36,FDV20,12.6,Regular,High,Fruits and Vegetables,128.07,OUT027,1985,Medium,Tier 3,Supermarket Type3,2797.69
37,DRZ11,8.85,Regular,High,Soft Drinks,122.54,OUT018,2009,Medium,Tier 3,Supermarket Type2,1609.9
38,FDX10,12.6,Regular,High,Snack Foods,36.99,OUT027,1985,Medium,Tier 3,Supermarket Type3,388.16
39,FDB34,12.6,Low Fat,Low,Snack Foods,87.62,OUT027,1985,Medium,Tier 3,Supermarket Type3,2180.5
40,FDU02,13.35,Low Fat,High,Dairy,230.64,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.53
41,FDK43,9.8,Low Fat,Low,Meat,126.0,OUT013,1987,High,Tier 3,Supermarket Type1,2150.53
42,FDA46,13.6,Low Fat,High,Snack Foods,192.91,OUT049,1999,Medium,Tier 1,Supermarket Type1,2527.38
43,FDC02,21.35,Low Fat,High,Canned,259.93,OUT018,2009,Medium,Tier 3,Supermarket Type2,6768.52
44,FDL50,12.15,Regular,Low,Canned,126.5,OUT013,1987,High,Tier 3,Supermarket Type1,373.51
45,FDM39,6.42,Low Fat,High,Dairy,178.1,OUT010,1998,NA,Tier 3,Grocery Store,358.2
46,NCP05,19.6,Low Fat,High,Health and Hygiene,153.3,OUT045,2002,NA,Tier 2,Supermarket Type1,2428.84
47,FDV49,10.0,Low Fat,Low,Canned,265.22,OUT045,2002,NA,Tier 2,Supermarket Type1,5815.1
48,FDL12,15.85,Regular,High,Baking Goods,60.62,OUT046,1997,Small,Tier 1,Supermarket Type1,2576.65
49,FDS02,12.6,Regular,High,Dairy,196.88,OUT019,1985,Small,Tier 1,Grocery Store,780.32
50,NCL17,7.39,Low Fat,High,Health and Hygiene,143.88,OUT046,1997,Small,Tier 1,Supermarket Type1,3134.59
51,FDM40,10.195,Low Fat,High,Frozen Foods,141.52,OUT013,1987,High,Tier 3,Supermarket Type1,850.89
52,FDR13,9.895,Regular,Low,Canned,117.05,OUT013,1987,High,Tier 3,Supermarket Type1,810.94
53,FDA43,10.895,Low Fat,High,Fruits and Vegetables,196.38,OUT017,2007,NA,Tier 2,Supermarket Type1,3121.27
54,NCP18,12.15,Low Fat,Low,Household,151.47,OUT017,2007,NA,Tier 2,Supermarket Type1,4815.07
55,FDK21,7.905,Low Fat,Low,Snack Foods,249.04,OUT018,2009,Medium,Tier 3,Supermarket Type2,6258.52
56,NCX54,9.195,Low Fat,High,Household,106.16,OUT045,2002,NA,Tier 2,Supermarket Type1,2117.24
57,DRK35,8.365,Low Fat,High,Hard Drinks,38.05,OUT049,1999,Medium,Tier 1,Supermarket Type1,796.96
58,FDY21,15.1,Low Fat,High,Snack Foods,194.51,OUT046,1997,Small,Tier 1,Supermarket Type1,4910.27
59,FDI26,12.6,Low Fat,High,Canned,180.03,OUT019,1985,Small,Tier 1,Grocery Store,892.17
60,FDM20,10.0,Low Fat,High,Fruits and Vegetables,246.91,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.19
61,FDV27,7.97,Regular,Low,Meat,87.35,OUT045,2002,NA,Tier 2,Supermarket Type1,1062.62
62,FDF09,12.6,Low Fat,Low,Fruits and Vegetables,38.28,OUT027,1985,Medium,Tier 3,Supermarket Type3,484.7
63,FDY40,12.6,Regular,High,Frozen Foods,51.07,OUT019,1985,Small,Tier 1,Grocery Store,147.81
64,FDY45,12.6,Low Fat,Low,Snack Foods,255.84,OUT027,1985,Medium,Tier 3,Supermarket Type3,2543.36
65,FDC46,17.7,Low Fat,High,Snack Foods,185.43,OUT010,1998,NA,Tier 3,Grocery Store,184.43
66,FDH19,19.35,Low Fat,Low,Meat,172.57,OUT035,2004,Small,Tier 2,Supermarket Type1,4865.67
67,FDZ03,13.65,Regular,High,Dairy,186.02,OUT045,2002,NA,Tier 2,Supermarket Type1,1118.54
68,DRH37,17.6,Low Fat,Low,Soft Drinks,164.85,OUT045,2002,NA,Tier 2,Supermarket Type1,2302.34
69,NCI17,8.645,Low Fat,High,Health and Hygiene,95.84,OUT046,1997,Small,Tier 1,Supermarket Type1,2027.36
70,FDJ58,15.6,Regular,High,Snack Foods,170.18,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.53
71,FDL12,15.85,Regular,High,Baking Goods,59.22,OUT013,1987,High,Tier 3,Supermarket Type1,599.22
72,FDH35,18.25,Low Fat,High,Starchy Foods,164.75,OUT045,2002,NA,Tier 2,Supermarket Type1,4604.67
73,FDG02,7.855,Low Fat,Low,Canned,189.62,OUT017,2007,NA,Tier 2,Supermarket Type1,2285.03
74,NCZ18,7.825,low fat,High,Household,254.37,OUT049,1999,Medium,Tier 1,Supermarket Type1,5580.74
75,FDC29,8.39,Regular,Low,Frozen Foods,114.02,OUT046,1997,Small,Tier 1,Supermarket Type1,2290.35
76,FDQ10,12.85,Low Fat,Low,Snack Foods,172.34,OUT049,1999,Medium,Tier 1,Supermarket Type1,1207.1
77,FDN48,12.6,Low Fat,High,Baking Goods,89.98,OUT019,1985,Small,Tier 1,Grocery Store,643.16
78,FDL04,19.0,Low Fat,High,Frozen Foods,104.96,OUT017,2007,NA,Tier 2,Supermarket Type1,1587.93
79,FDV25,5.905,Low Fat,High,Canned,222.55,OUT045,2002,NA,Tier 2,Supermarket Type1,5305.09
80,FDD58,7.76,Low Fat,High,Snack Foods,101.87,OUT046,1997,Small,Tier 1,Supermarket Type1,1697.79
81,FDN04,11.8,Regular,Low,Frozen Foods,180.33,OUT046,1997,Small,Tier 1,Supermarket Type1,1427.48
82,FDV45,16.75,low fat,High,Snack Foods,187.96,OUT018,2009,Medium,Tier 3,Supermarket Type2,4693.89
83,NCL18,12.6,Low Fat,High,Household,194.61,OUT019,1985,Small,Tier 1,Grocery Store,583.24
84,FDR12,12.6,Regular,Low,Baking Goods,171.38,OUT027,1985,Medium,Tier 3,Supermarket Type3,3091.98
85,FDG20,15.5,Regular,High,Fruits and Vegetables,177.0,OUT017,2007,NA,Tier 2,Supermarket Type1,2479.44
86,FDZ55,6.055,Low Fat,Low,Fruits and Vegetables,160.99,OUT035,2004,Small,Tier 2,Supermarket Type1,2716.46
87,FDQ49,12.6,Regular,Low,Breakfast,155.96,OUT027,1985,Medium,Tier 3,Supermarket Type3,3285.72
88,FDN33,6.305,Regular,High,Snack Foods,95.64,OUT046,1997,Small,Tier 1,Supermarket Type1,661.81
89,FDN27,20.85,Low Fat,Low,Meat,117.28,OUT049,1999,Medium,Tier 1,Supermarket Type1,1523.35
90,FDW20,20.75,Low Fat,Low,Fruits and Vegetables,122.17,OUT010,1998,NA,Tier 3,Grocery Store,369.52
91,DRG27,8.895,Low Fat,High,Dairy,39.91,OUT049,1999,Medium,Tier 1,Supermarket Type1,690.43
92,DRI25,19.6,Low Fat,Low,Soft Drinks,55.16,OUT045,2002,NA,Tier 2,Supermarket Type1,1381.54
93,FDA44,19.7,Low Fat,High,Fruits and Vegetables,57.89,OUT035,2004,Small,Tier 2,Supermarket Type1,622.52
94,NCR17,9.8,Low Fat,Low,Health and Hygiene,114.55,OUT035,2004,Small,Tier 2,Supermarket Type1,1274.34
95,FDU04,12.6,Low Fat,Low,Frozen Foods,120.04,OUT019,1985,Small,Tier 1,Grocery Store,487.37
96,FDF41,12.15,Low Fat,High,Frozen Foods,246.05,OUT049,1999,Medium,Tier 1,Supermarket Type1,1231.73
97,FDB56,8.75,Regular,High,Fruits and Vegetables,187.46,OUT035,2004,Small,Tier 2,Supermarket Type1,3755.11
98,NCP18,12.6,Low Fat,Low,Household,149.97,OUT027,1985,Medium,Tier 3,Supermarket Type3,4363.65
99,FDB56,8.75,Regular,High,Fruits and Vegetables,187.86,OUT046,1997,Small,Tier 1,Supermarket Type1,1314.29
100,FDT28,13.3,Low Fat,High,Frozen Foods,151.07,OUT045,2002,NA,Tier 2,Supermarket Type1,1805.65
101,FDD10,12.6,Regular,High,Snack Foods,178.53,OUT027,1985,Medium,Tier 3,Supermarket Type3,2854.95
102,FDW57,8.31,Regular,High,Snack Foods,179.1,OUT049,1999,Medium,Tier 1,Supermarket Type1,3896.26
103,DRB48,16.75,Regular,Low,Soft Drinks,38.78,OUT013,1987,High,Tier 3,Supermarket Type1,667.8
104,FDP09,19.75,Low Fat,Low,Snack Foods,212.09,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.85
105,FDH14,17.1,Regular,High,Canned,141.18,OUT013,1987,High,Tier 3,Supermarket Type1,2247.74
106,FDA47,10.5,Regular,High,Baking Goods,163.12,OUT013,1987,High,Tier 3,Supermarket Type1,1794.33
107,FDG12,6.635,Regular,High,Baking Goods,121.31,OUT045,2002,NA,Tier 2,Supermarket Type1,2530.71
108,DRE60,12.6,low fat,High,Soft Drinks,225.37,OUT019,1985,Small,Tier 1,Grocery Store,679.12
109,DRK49,14.15,Low Fat,Low,Soft Drinks,41.41,OUT013,1987,High,Tier 3,Supermarket Type1,812.28
110,FDD03,13.3,Low Fat,High,Dairy,232.53,OUT046,1997,Small,Tier 1,Supermarket Type1,699.09
111,FDS52,8.89,low fat,Low,Frozen Foods,102.4,OUT017,2007,NA,Tier 2,Supermarket Type1,2732.44
112,FDW39,12.6,Regular,High,Meat,176.94,OUT019,1985,Small,Tier 1,Grocery Store,176.44
113,FDX34,12.6,Low Fat,High,Snack Foods,121.71,OUT027,1985,Medium,Tier 3,Supermarket Type3,4097.33
114,FDV11,9.1,Regular,High,Breads,173.21,OUT045,2002,NA,Tier 2,Supermarket Type1,3151.9
115,FDD17,7.5,Low Fat,Low,Frozen Foods,239.09,OUT049,1999,Medium,Tier 1,Supermarket Type1,5942.26
116,FDZ16,16.85,Regular,High,Frozen Foods,192.45,OUT017,2007,NA,Tier 2,Supermarket Type1,4843.7
117,FDZ46,7.485,Low Fat,High,Snack Foods,109.02,OUT035,2004,Small,Tier 2,Supermarket Type1,2542.02
118,DRA12,11.6,Low Fat,Low,Soft Drinks,140.32,OUT017,2007,NA,Tier 2,Supermarket Type1,2552.68
119,FDY58,11.65,Low Fat,Low,Snack Foods,227.07,OUT018,2009,Medium,Tier 3,Supermarket Type2,1141.85
120,NCF19,13.0,Low Fat,Low,Household,47.5,OUT017,2007,NA,Tier 2,Supermarket Type1,680.45
121,DRJ13,12.65,Low Fat,High,Soft Drinks,159.06,OUT045,2002,NA,Tier 2,Supermarket Type1,2085.95
122,FDB14,20.25,Regular,High,Canned,92.51,OUT010,1998,NA,Tier 3,Grocery Store,186.42
123,FDJ38,8.6,Regular,Low,Canned,190.15,OUT035,2004,Small,Tier 2,Supermarket Type1,3036.05
124,FDW11,12.6,Low Fat,High,Breads,62.72,OUT017,2007,NA,Tier 2,Supermarket Type1,866.87
125,FDL40,17.7,Low Fat,Low,Frozen Foods,95.04,OUT035,2004,Small,Tier 2,Supermarket Type1,868.87
126,DRI49,14.15,Low Fat,High,Soft Drinks,82.43,OUT046,1997,Small,Tier 1,Supermarket Type1,1137.19
127,FDV38,19.25,Low Fat,High,Dairy,52.8,OUT017,2007,NA,Tier 2,Supermarket Type1,928.13
128,DRG23,8.88,Low Fat,High,Hard Drinks,151.77,OUT013,1987,High,Tier 3,Supermarket Type1,762.34
129,NCP30,20.5,Low Fat,Low,Household,40.28,OUT045,2002,NA,Tier 2,Supermarket Type1,707.08
130,FDY25,12.6,Low Fat,Low,Canned,180.6,OUT027,1985,Medium,Tier 3,Supermarket Type3,7968.29
131,NCH54,13.5,Low Fat,High,Household,160.29,OUT046,1997,Small,Tier 1,Supermarket Type1,1438.13
132,NCR53,12.6,Low Fat,High,Health and Hygiene,224.44,OUT027,1985,Medium,Tier 3,Supermarket Type3,6976.25
133,FDS52,8.89,Low Fat,Low,Frozen Foods,101.7,OUT010,1998,NA,Tier 3,Grocery Store,101.2
134,FDG02,7.855,Low Fat,Low,Canned,188.52,OUT018,2009,Medium,Tier 3,Supermarket Type2,952.09
135,NCO26,7.235,Low Fat,High,Household,116.05,OUT046,1997,Small,Tier 1,Supermarket Type1,1969.44
136,FDH35,12.6,Low Fat,High,Starchy Foods,165.45,OUT027,1985,Medium,Tier 3,Supermarket Type3,5262.48
137,FDB51,6.92,Low Fat,Low,Dairy,60.59,OUT045,2002,NA,Tier 2,Supermarket Type1,1314.29
138,FDX44,9.3,Low Fat,Low,Fruits and Vegetables,90.82,OUT017,2007,NA,Tier 2,Supermarket Type1,535.3
139,NCN07,18.5,Low Fat,High,Others,132.13,OUT010,1998,NA,Tier 3,Grocery Store,263.66
140,NCC31,8.02,Low Fat,Low,Household,154.6,OUT035,2004,Small,Tier 2,Supermarket Type1,1402.17
141,NCX54,9.195,Low Fat,High,Household,105.16,OUT017,2007,NA,Tier 2,Supermarket Type1,1693.8
142,NCO55,12.8,Low Fat,High,Others,105.59,OUT045,2002,NA,Tier 2,Supermarket Type1,2143.88
143,NCC30,16.6,Low Fat,Low,Household,177.63,OUT049,1999,Medium,Tier 1,Supermarket Type1,2676.52
144,FDI16,14.0,Regular,High,Frozen Foods,53.06,OUT035,2004,Small,Tier 2,Supermarket Type1,905.49
145,FDP16,18.6,Low Fat,Low,Frozen Foods,246.38,OUT049,1999,Medium,Tier 1,Supermarket Type1,7370.41
146,FDB11,16.0,Low Fat,High,Starchy Foods,226.84,OUT035,2004,Small,Tier 2,Supermarket Type1,6301.13
147,NCB06,17.6,Low Fat,High,Health and Hygiene,160.69,OUT035,2004,Small,Tier 2,Supermarket Type1,1597.92
148,FDA45,21.25,Low Fat,High,Snack Foods,178.24,OUT035,2004,Small,Tier 2,Supermarket Type1,529.31
149,NCO26,7.235,Low Fat,High,Household,117.55,OUT035,2004,Small,Tier 2,Supermarket Type1,1969.44
150,DRJ25,14.6,Low Fat,High,Soft Drinks,50.37,OUT017,2007,NA,Tier 2,Supermarket Type1,1034.65
151,FDR28,13.85,Regular,Low,Frozen Foods,161.52,OUT018,2009,Medium,Tier 3,Supermarket Type2,1794.33
152,FDI04,13.65,Regular,High,Frozen Foods,197.64,OUT018,2009,Medium,Tier 3,Supermarket Type2,2768.4
153,DRK12,12.6,Low Fat,Low,Soft Drinks,31.29,OUT027,1985,Medium,Tier 3,Supermarket Type3,898.83
154,FDX20,7.365,Low Fat,Low,Fruits and Vegetables,226.17,OUT046,1997,Small,Tier 1,Supermarket Type1,3169.21
155,NCI18,18.35,Low Fat,Low,Household,223.57,OUT018,2009,Medium,Tier 3,Supermarket Type2,3589.99
156,FDB36,5.465,Regular,High,Baking Goods,132.56,OUT018,2009,Medium,Tier 3,Supermarket Type2,262.33
157,FDN13,18.6,Low Fat,High,Breakfast,99.84,OUT017,2007,NA,Tier 2,Supermarket Type1,1910.18
158,DRD24,13.85,Low Fat,Low,Soft Drinks,140.92,OUT017,2007,NA,Tier 2,Supermarket Type1,1701.78
159,FDQ28,14.0,Regular,High,Frozen Foods,154.57,OUT013,1987,High,Tier 3,Supermarket Type1,2471.45
160,FDM22,14.0,Regular,Low,Snack Foods,54.76,OUT013,1987,High,Tier 3,Supermarket Type1,1331.6
161,FDR07,12.6,Low Fat,High,Fruits and Vegetables,97.01,OUT027,1985,Medium,Tier 3,Supermarket Type3,1808.98
162,FDV25,5.905,Low Fat,High,Canned,222.55,OUT018,2009,Medium,Tier 3,Supermarket Type2,3315.68
163,DRF49,7.27,Low Fat,High,Soft Drinks,114.25,OUT046,1997,Small,Tier 1,Supermarket Type1,2618.59
164,FDW51,6.155,Regular,High,Meat,214.56,OUT046,1997,Small,Tier 1,Supermarket Type1,2769.73
165,DRL01,19.5,Regular,High,Soft Drinks,233.5,OUT017,2007,NA,Tier 2,Supermarket Type1,5375.0
166,FDP25,15.2,Low Fat,Low,Canned,216.88,OUT017,2007,NA,Tier 2,Supermarket Type1,2838.97
167,FDL50,12.15,Regular,Low,Canned,125.0,OUT018,2009,Medium,Tier 3,Supermarket Type2,1743.06
168,NCB30,12.6,Low Fat,Low,Household,198.81,OUT027,1985,Medium,Tier 3,Supermarket Type3,5555.44
169,FDW11,12.6,Low Fat,High,Breads,61.92,OUT018,2009,Medium,Tier 3,Supermarket Type2,619.19
170,NCM43,14.5,Low Fat,Low,Others,164.82,OUT035,2004,Small,Tier 2,Supermarket Type1,2120.57
171,FDK44,16.6,Low Fat,High,Fruits and Vegetables,173.07,OUT017,2007,NA,Tier 2,Supermarket Type1,3823.02
172,FDM15,11.8,Regular,High,Meat,151.44,OUT013,1987,High,Tier 3,Supermarket Type1,1360.23
173,FDS31,13.1,Regular,Low,Fruits and Vegetables,178.83,OUT013,1987,High,Tier 3,Supermarket Type1,3969.5
174,FDI32,17.7,Low Fat,High,Fruits and Vegetables,115.18,OUT010,1998,NA,Tier 3,Grocery Store,345.55
175,FDR47,17.85,Low Fat,High,Breads,196.58,OUT010,1998,NA,Tier 3,Grocery Store,585.24
176,FDB35,12.3,Regular,High,Starchy Foods,92.68,OUT045,2002,NA,Tier 2,Supermarket Type1,1010.68
177,NCU05,11.8,Low Fat,High,Health and Hygiene,81.46,OUT010,1998,NA,Tier 3,Grocery Store,161.12
178,DRY23,12.6,Regular,High,Soft Drinks,42.11,OUT019,1985,Small,Tier 1,Grocery Store,42.61
179,FDO24,11.1,Low Fat,High,Baking Goods,157.46,OUT045,2002,NA,Tier 2,Supermarket Type1,3010.75
180,FDQ28,12.6,Regular,High,Frozen Foods,153.07,OUT027,1985,Medium,Tier 3,Supermarket Type3,6024.16
181,FDV39,11.3,Low Fat,Low,Meat,198.14,OUT045,2002,NA,Tier 2,Supermarket Type1,988.71
182,NCO17,12.6,Low Fat,High,Health and Hygiene,117.94,OUT019,1985,Small,Tier 1,Grocery Store,239.69
183,FDU50,5.75,Regular,High,Dairy,112.82,OUT013,1987,High,Tier 3,Supermarket Type1,1374.21
184,FDT12,12.6,Regular,High,Baking Goods,226.81,OUT027,1985,Medium,Tier 3,Supermarket Type3,4739.83
185,FDK58,11.35,Regular,High,Snack Foods,100.0,OUT018,2009,Medium,Tier 3,Supermarket Type2,1012.02
186,FDO08,12.6,Regular,High,Fruits and Vegetables,165.75,OUT019,1985,Small,Tier 1,Grocery Store,657.81
187,NCW29,14.0,Low Fat,Low,Health and Hygiene,130.43,OUT049,1999,Medium,Tier 1,Supermarket Type1,778.99
188,FDE04,19.75,Regular,Low,Frozen Foods,179.77,OUT045,2002,NA,Tier 2,Supermarket Type1,2336.96
189,NCB19,6.525,Low Fat,High,Household,85.09,OUT049,1999,Medium,Tier 1,Supermarket Type1,2233.09
190,FDV15,10.3,Low Fat,High,Meat,103.96,OUT049,1999,Medium,Tier 1,Supermarket Type1,1661.84
191,FDL58,5.78,Regular,High,Snack Foods,264.76,OUT049,1999,Medium,Tier 1,Supermarket Type1,4745.82
192,FDA08,11.85,Regular,High,Fruits and Vegetables,164.15,OUT045,2002,NA,Tier 2,Supermarket Type1,3124.6
193,FDT43,16.35,Low Fat,Low,Fruits and Vegetables,50.13,OUT018,2009,Medium,Tier 3,Supermarket Type2,467.39
194,NCX06,12.6,Low Fat,Low,Household,182.6,OUT027,1985,Medium,Tier 3,Supermarket Type3,5070.73
195,FDT20,10.5,Low Fat,Low,Fruits and Vegetables,37.62,OUT046,1997,Small,Tier 1,Supermarket Type1,540.63
196,FDB41,19.0,Regular,High,Frozen Foods,48.07,OUT046,1997,Small,Tier 1,Supermarket Type1,992.71
197,NCN55,14.6,Low Fat,High,Others,238.85,OUT049,1999,Medium,Tier 1,Supermarket Type1,6008.84
198,FDE40,12.6,Regular,High,Dairy,62.92,OUT027,1985,Medium,Tier 3,Supermarket Type3,2105.26
199,FDX49,12.6,Regular,High,Canned,232.63,OUT027,1985,Medium,Tier 3,Supermarket Type3,5359.69
200,NCM53,18.75,Low Fat,High,Health and Hygiene,104.63,OUT045,2002,NA,Tier 2,Supermarket Type1,745.7
201,FDE36,5.26,Regular,Low,Baking Goods,161.89,OUT035,2004,Small,Tier 2,Supermarket Type1,3275.74
202,FDN57,18.25,Low Fat,High,Snack Foods,140.22,OUT045,2002,NA,Tier 2,Supermarket Type1,1701.78
203,FDI24,12.6,Low Fat,High,Baking Goods,177.94,OUT027,1985,Medium,Tier 3,Supermarket Type3,6704.61
204,FDI19,15.1,Low Fat,High,Meat,242.75,OUT046,1997,Small,Tier 1,Supermarket Type1,4119.97
205,FDF24,15.5,Regular,Low,Baking Goods,81.59,OUT010,1998,NA,Tier 3,Grocery Store,327.57
206,FDG52,13.65,Low Fat,High,Frozen Foods,45.74,OUT049,1999,Medium,Tier 1,Supermarket Type1,780.98
207,DRF36,16.1,Low Fat,Low,Soft Drinks,189.38,OUT045,2002,NA,Tier 2,Supermarket Type1,3630.61
208,FDS45,12.6,Regular,High,Snack Foods,107.36,OUT019,1985,Small,Tier 1,Grocery Store,317.59
209,FDX40,12.85,Low Fat,High,Frozen Foods,39.72,OUT010,1998,NA,Tier 3,Grocery Store,231.7
210,DRK12,9.5,Low Fat,Low,Soft Drinks,32.99,OUT035,2004,Small,Tier 2,Supermarket Type1,133.16
211,DRC27,13.8,Low Fat,High,Dairy,245.18,OUT035,2004,Small,Tier 2,Supermarket Type1,5650.64
212,FDL58,5.78,Regular,High,Snack Foods,263.76,OUT017,2007,NA,Tier 2,Supermarket Type1,2636.57
213,NCD30,19.7,Low Fat,Low,Household,96.07,OUT045,2002,NA,Tier 2,Supermarket Type1,1272.34
214,NCZ54,14.65,Low Fat,High,Household,161.56,OUT010,1998,NA,Tier 3,Grocery Store,324.91
215,FDE10,6.67,Regular,High,Snack Foods,130.06,OUT010,1998,NA,Tier 3,Grocery Store,131.16
216,FDR44,6.11,Regular,High,Fruits and Vegetables,131.3,OUT010,1998,NA,Tier 3,Grocery Store,260.99
217,FDP28,13.65,Regular,High,Frozen Foods,260.09,OUT010,1998,NA,Tier 3,Grocery Store,260.99
218,FDX15,17.2,Low Fat,High,Meat,160.66,OUT013,1987,High,Tier 3,Supermarket Type1,3690.53
219,FDA39,6.32,Low Fat,High,Meat,40.28,OUT035,2004,Small,Tier 2,Supermarket Type1,1139.18
220,FDY24,4.88,Regular,High,Baking Goods,52.93,OUT049,1999,Medium,Tier 1,Supermarket Type1,1995.4
221,FDC60,5.425,Regular,High,Baking Goods,88.35,OUT017,2007,NA,Tier 2,Supermarket Type1,1416.82
222,FDH28,15.85,Regular,High,Frozen Foods,37.25,OUT046,1997,Small,Tier 1,Supermarket Type1,265.65
223,FDT25,7.5,Low Fat,High,Canned,121.71,OUT017,2007,NA,Tier 2,Supermarket Type1,3552.71
224,DRJ13,12.65,Low Fat,High,Soft Drinks,161.56,OUT013,1987,High,Tier 3,Supermarket Type1,2406.87
225,NCO07,12.6,Low Fat,Low,Others,211.96,OUT019,1985,Small,Tier 1,Grocery Store,213.06
226,FDW20,20.75,Low Fat,Low,Fruits and Vegetables,124.17,OUT013,1987,High,Tier 3,Supermarket Type1,2956.15
227,DRF27,12.6,Low Fat,High,Dairy,152.13,OUT019,1985,Small,Tier 1,Grocery Store,153.13
228,FDS49,9.0,Low Fat,High,Canned,79.76,OUT035,2004,Small,Tier 2,Supermarket Type1,1649.85
