Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDN27,20.85,Low Fat,Low,Meat,117.28,OUT049,1999,Medium,Tier 1,Supermarket Type1,1523.35
FDW20,20.75,Low Fat,Low,Fruits and Vegetables,122.17,OUT010,1998,NA,Tier 3,Grocery Store,369.52
DRG27,8.9,Low Fat,High,Dairy,39.91,OUT049,1999,Medium,Tier 1,Supermarket Type1,690.43
DRI25,19.6,Low Fat,Low,Soft Drinks,55.16,OUT045,2002,NA,Tier 2,Supermarket Type1,1381.54
FDA44,19.7,Low Fat,High,Fruits and Vegetables,57.89,OUT035,2004,Small,Tier 2,Supermarket Type1,622.52
NCR17,9.8,Low Fat,Low,Health and Hygiene,114.55,OUT035,2004,Small,Tier 2,Supermarket Type1,1274.34
FDU04,12.6,Low Fat,Low,Frozen Foods,120.04,OUT019,1985,Small,Tier 1,Grocery Store,487.37
FDF41,12.15,Low Fat,High,Frozen Foods,246.05,OUT049,1999,Medium,Tier 1,Supermarket Type1,1231.73
FDB56,8.75,Regular,High,Fruits and Vegetables,187.46,OUT035,2004,Small,Tier 2,Supermarket Type1,3755.11
NCP18,12.6,Low Fat,Low,Household,149.97,OUT027,1985,Medium,Tier 3,Supermarket Type3,4363.65
FDB56,8.75,Regular,High,Fruits and Vegetables,187.86,OUT046,1997,Small,Tier 1,Supermarket Type1,1314.29
FDT28,13.3,Low Fat,High,Frozen Foods,151.07,OUT045,2002,NA,Tier 2,Supermarket Type1,1805.65
FDD10,12.6,Regular,High,Snack Foods,178.53,OUT027,1985,Medium,Tier 3,Supermarket Type3,2854.95
FDW57,8.31,Regular,High,Snack Foods,179.1,OUT049,1999,Medium,Tier 1,Supermarket Type1,3896.26
DRB48,16.75,Regular,Low,Soft Drinks,38.78,OUT013,1987,Large,Tier 3,Supermarket Type1,667.8
FDP09,19.75,Low Fat,Low,Snack Foods,212.09,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.85
FDH14,17.1,Regular,High,Canned,141.18,OUT013,1987,Large,Tier 3,Supermarket Type1,2247.74
FDA47,10.5,Regular,High,Baking Goods,163.12,OUT013,1987,Large,Tier 3,Supermarket Type1,1794.33
FDG12,6.64,Regular,High,Baking Goods,121.31,OUT045,2002,NA,Tier 2,Supermarket Type1,2530.71
DRE60,12.6,low fat,High,Soft Drinks,225.37,OUT019,1985,Small,Tier 1,Grocery Store,679.12
DRK49,14.15,Low Fat,Low,Soft Drinks,41.41,OUT013,1987,Large,Tier 3,Supermarket Type1,812.28
FDD03,13.3,Low Fat,High,Dairy,232.53,OUT046,1997,Small,Tier 1,Supermarket Type1,699.09
FDS52,8.89,low fat,Low,Frozen Foods,102.4,OUT017,2007,NA,Tier 2,Supermarket Type1,2732.44
FDW39,12.6,Regular,High,Meat,176.94,OUT019,1985,Small,Tier 1,Grocery Store,176.44
FDX34,12.6,Low Fat,High,Snack Foods,121.71,OUT027,1985,Medium,Tier 3,Supermarket Type3,4097.33
FDV11,9.1,Regular,High,Breads,173.21,OUT045,2002,NA,Tier 2,Supermarket Type1,3151.9
FDD17,7.5,Low Fat,Low,Frozen Foods,239.09,OUT049,1999,Medium,Tier 1,Supermarket Type1,5942.26
FDZ16,16.85,Regular,High,Frozen Foods,192.45,OUT017,2007,NA,Tier 2,Supermarket Type1,4843.7
FDZ46,7.48,Low Fat,High,Snack Foods,109.02,OUT035,2004,Small,Tier 2,Supermarket Type1,2542.02
DRA12,11.6,Low Fat,Low,Soft Drinks,140.32,OUT017,2007,NA,Tier 2,Supermarket Type1,2552.68
FDY58,11.65,Low Fat,Low,Snack Foods,227.07,OUT018,2009,Medium,Tier 3,Supermarket Type2,1141.85
NCF19,13.0,Low Fat,Low,Household,47.5,OUT017,2007,NA,Tier 2,Supermarket Type1,680.45
DRJ13,12.65,Low Fat,High,Soft Drinks,159.06,OUT045,2002,NA,Tier 2,Supermarket Type1,2085.95
FDB14,20.25,Regular,High,Canned,92.51,OUT010,1998,NA,Tier 3,Grocery Store,186.42
FDJ38,8.6,Regular,Low,Canned,190.15,OUT035,2004,Small,Tier 2,Supermarket Type1,3036.05
FDW11,12.6,Low Fat,High,Breads,62.72,OUT017,2007,NA,Tier 2,Supermarket Type1,866.87
FDL40,17.7,Low Fat,Low,Frozen Foods,95.04,OUT035,2004,Small,Tier 2,Supermarket Type1,868.87
DRI49,14.15,Low Fat,High,Soft Drinks,82.43,OUT046,1997,Small,Tier 1,Supermarket Type1,1137.19
FDV38,19.25,Low Fat,High,Dairy,52.8,OUT017,2007,NA,Tier 2,Supermarket Type1,928.13
DRG23,8.88,Low Fat,High,Hard Drinks,151.77,OUT013,1987,Large,Tier 3,Supermarket Type1,762.34
NCP30,20.5,Low Fat,Low,Household,40.28,OUT045,2002,NA,Tier 2,Supermarket Type1,707.08
FDY25,12.6,Low Fat,Low,Canned,180.6,OUT027,1985,Medium,Tier 3,Supermarket Type3,7968.29
NCH54,13.5,Low Fat,High,Household,160.29,OUT046,1997,Small,Tier 1,Supermarket Type1,1438.13
NCR53,12.6,Low Fat,High,Health and Hygiene,224.44,OUT027,1985,Medium,Tier 3,Supermarket Type3,6976.25
FDS52,8.89,Low Fat,Low,Frozen Foods,101.7,OUT010,1998,NA,Tier 3,Grocery Store,101.2
FDG02,7.86,Low Fat,Low,Canned,188.52,OUT018,2009,Medium,Tier 3,Supermarket Type2,952.09
NCO26,7.24,Low Fat,High,Household,116.05,OUT046,1997,Small,Tier 1,Supermarket Type1,1969.44
FDH35,12.6,Low Fat,High,Starchy Foods,165.45,OUT027,1985,Medium,Tier 3,Supermarket Type3,5262.48
FDB51,6.92,Low Fat,Low,Dairy,60.59,OUT045,2002,NA,Tier 2,Supermarket Type1,1314.29
FDX44,9.3,Low Fat,Low,Fruits and Vegetables,90.82,OUT017,2007,NA,Tier 2,Supermarket Type1,535.3
NCN07,18.5,Low Fat,High,Others,132.13,OUT010,1998,NA,Tier 3,Grocery Store,263.66
NCC31,8.02,Low Fat,Low,Household,154.6,OUT035,2004,Small,Tier 2,Supermarket Type1,1402.17
NCX54,9.2,Low Fat,High,Household,105.16,OUT017,2007,NA,Tier 2,Supermarket Type1,1693.8
NCO55,12.8,Low Fat,High,Others,105.59,OUT045,2002,NA,Tier 2,Supermarket Type1,2143.88
NCC30,16.6,Low Fat,Low,Household,177.63,OUT049,1999,Medium,Tier 1,Supermarket Type1,2676.52
FDI16,14.0,Regular,High,Frozen Foods,53.06,OUT035,2004,Small,Tier 2,Supermarket Type1,905.49
FDP16,18.6,Low Fat,Low,Frozen Foods,246.38,OUT049,1999,Medium,Tier 1,Supermarket Type1,7370.41
FDB11,16.0,Low Fat,High,Starchy Foods,226.84,OUT035,2004,Small,Tier 2,Supermarket Type1,6301.13
NCB06,17.6,Low Fat,High,Health and Hygiene,160.69,OUT035,2004,Small,Tier 2,Supermarket Type1,1597.92
FDA45,21.25,Low Fat,High,Snack Foods,178.24,OUT035,2004,Small,Tier 2,Supermarket Type1,529.31
NCO26,7.24,Low Fat,High,Household,117.55,OUT035,2004,Small,Tier 2,Supermarket Type1,1969.44
DRJ25,14.6,Low Fat,High,Soft Drinks,50.37,OUT017,2007,NA,Tier 2,Supermarket Type1,1034.65
FDR28,13.85,Regular,Low,Frozen Foods,161.52,OUT018,2009,Medium,Tier 3,Supermarket Type2,1794.33
FDI04,13.65,Regular,High,Frozen Foods,197.64,OUT018,2009,Medium,Tier 3,Supermarket Type2,2768.4
DRK12,12.6,Low Fat,Low,Soft Drinks,31.29,OUT027,1985,Medium,Tier 3,Supermarket Type3,898.83
FDX20,7.36,Low Fat,Low,Fruits and Vegetables,226.17,OUT046,1997,Small,Tier 1,Supermarket Type1,3169.21
NCI18,18.35,Low Fat,Low,Household,223.57,OUT018,2009,Medium,Tier 3,Supermarket Type2,3589.99
FDB36,5.46,Regular,High,Baking Goods,132.56,OUT018,2009,Medium,Tier 3,Supermarket Type2,262.33
FDN13,18.6,Low Fat,High,Breakfast,99.84,OUT017,2007,NA,Tier 2,Supermarket Type1,1910.18
DRD24,13.85,Low Fat,Low,Soft Drinks,140.92,OUT017,2007,NA,Tier 2,Supermarket Type1,1701.78
FDQ28,14.0,Regular,High,Frozen Foods,154.57,OUT013,1987,Large,Tier 3,Supermarket Type1,2471.45
FDM22,14.0,Regular,Low,Snack Foods,54.76,OUT013,1987,Large,Tier 3,Supermarket Type1,1331.6
FDR07,12.6,Low Fat,High,Fruits and Vegetables,97.01,OUT027,1985,Medium,Tier 3,Supermarket Type3,1808.98
FDV25,5.9,Low Fat,High,Canned,222.55,OUT018,2009,Medium,Tier 3,Supermarket Type2,3315.68
DRF49,7.27,Low Fat,High,Soft Drinks,114.25,OUT046,1997,Small,Tier 1,Supermarket Type1,2618.59
FDW51,6.16,Regular,High,Meat,214.56,OUT046,1997,Small,Tier 1,Supermarket Type1,2769.73
DRL01,19.5,Regular,High,Soft Drinks,233.5,OUT017,2007,NA,Tier 2,Supermarket Type1,5375.0
FDP25,15.2,Low Fat,Low,Canned,216.88,OUT017,2007,NA,Tier 2,Supermarket Type1,2838.97
FDL50,12.15,Regular,Low,Canned,125.0,OUT018,2009,Medium,Tier 3,Supermarket Type2,1743.06
NCB30,12.6,Low Fat,Low,Household,198.81,OUT027,1985,Medium,Tier 3,Supermarket Type3,5555.44
FDW11,12.6,Low Fat,High,Breads,61.92,OUT018,2009,Medium,Tier 3,Supermarket Type2,619.19
NCM43,14.5,Low Fat,Low,Others,164.82,OUT035,2004,Small,Tier 2,Supermarket Type1,2120.57
FDK44,16.6,Low Fat,High,Fruits and Vegetables,173.07,OUT017,2007,NA,Tier 2,Supermarket Type1,3823.02
FDM15,11.8,Regular,High,Meat,151.44,OUT013,1987,Large,Tier 3,Supermarket Type1,1360.23
FDS31,13.1,Regular,Low,Fruits and Vegetables,178.83,OUT013,1987,Large,Tier 3,Supermarket Type1,3969.5
FDI32,17.7,Low Fat,High,Fruits and Vegetables,115.18,OUT010,1998,NA,Tier 3,Grocery Store,345.55
FDR47,17.85,Low Fat,High,Breads,196.58,OUT010,1998,NA,Tier 3,Grocery Store,585.24
FDB35,12.3,Regular,High,Starchy Foods,92.68,OUT045,2002,NA,Tier 2,Supermarket Type1,1010.68
NCU05,11.8,Low Fat,High,Health and Hygiene,81.46,OUT010,1998,NA,Tier 3,Grocery Store,161.12
DRY23,12.6,Regular,High,Soft Drinks,42.11,OUT019,1985,Small,Tier 1,Grocery Store,42.61
FDO24,11.1,Low Fat,High,Baking Goods,157.46,OUT045,2002,NA,Tier 2,Supermarket Type1,3010.75
FDQ28,12.6,Regular,High,Frozen Foods,153.07,OUT027,1985,Medium,Tier 3,Supermarket Type3,6024.16
FDV39,11.3,Low Fat,Low,Meat,198.14,OUT045,2002,NA,Tier 2,Supermarket Type1,988.71
NCO17,12.6,Low Fat,High,Health and Hygiene,117.94,OUT019,1985,Small,Tier 1,Grocery Store,239.69
FDU50,5.75,Regular,High,Dairy,112.82,OUT013,1987,Large,Tier 3,Supermarket Type1,1374.21
FDT12,12.6,Regular,High,Baking Goods,226.81,OUT027,1985,Medium,Tier 3,Supermarket Type3,4739.83
FDK58,11.35,Regular,High,Snack Foods,100.0,OUT018,2009,Medium,Tier 3,Supermarket Type2,1012.02
FDO08,12.6,Regular,High,Fruits and Vegetables,165.75,OUT019,1985,Small,Tier 1,Grocery Store,657.81
NCW29,14.0,Low Fat,Low,Health and Hygiene,130.43,OUT049,1999,Medium,Tier 1,Supermarket Type1,778.99
FDE04,19.75,Regular,Low,Frozen Foods,179.77,OUT045,2002,NA,Tier 2,Supermarket Type1,2336.96
NCB19,6.52,Low Fat,High,Household,85.09,OUT049,1999,Medium,Tier 1,Supermarket Type1,2233.09
FDV15,10.3,Low Fat,High,Meat,103.96,OUT049,1999,Medium,Tier 1,Supermarket Type1,1661.84
FDL58,5.78,Regular,High,Snack Foods,264.76,OUT049,1999,Medium,Tier 1,Supermarket Type1,4745.82
FDA08,11.85,Regular,High,Fruits and Vegetables,164.15,OUT045,2002,NA,Tier 2,Supermarket Type1,3124.6
FDT43,16.35,Low Fat,Low,Fruits and Vegetables,50.13,OUT018,2009,Medium,Tier 3,Supermarket Type2,467.39
NCX06,12.6,Low Fat,Low,Household,182.6,OUT027,1985,Medium,Tier 3,Supermarket Type3,5070.73
FDT20,10.5,Low Fat,Low,Fruits and Vegetables,37.62,OUT046,1997,Small,Tier 1,Supermarket Type1,540.63
FDB41,19.0,Regular,High,Frozen Foods,48.07,OUT046,1997,Small,Tier 1,Supermarket Type1,992.71
NCN55,14.6,Low Fat,High,Others,238.85,OUT049,1999,Medium,Tier 1,Supermarket Type1,6008.84
FDE40,12.6,Regular,High,Dairy,62.92,OUT027,1985,Medium,Tier 3,Supermarket Type3,2105.26
FDX49,12.6,Regular,High,Canned,232.63,OUT027,1985,Medium,Tier 3,Supermarket Type3,5359.69
NCM53,18.75,Low Fat,High,Health and Hygiene,104.63,OUT045,2002,NA,Tier 2,Supermarket Type1,745.7
FDE36,5.26,Regular,Low,Baking Goods,161.89,OUT035,2004,Small,Tier 2,Supermarket Type1,3275.74
FDN57,18.25,Low Fat,High,Snack Foods,140.22,OUT045,2002,NA,Tier 2,Supermarket Type1,1701.78
FDI24,12.6,Low Fat,High,Baking Goods,177.94,OUT027,1985,Medium,Tier 3,Supermarket Type3,6704.61
FDI19,15.1,Low Fat,High,Meat,242.75,OUT046,1997,Small,Tier 1,Supermarket Type1,4119.97
FDF24,15.5,Regular,Low,Baking Goods,81.59,OUT010,1998,NA,Tier 3,Grocery Store,327.57
FDG52,13.65,Low Fat,High,Frozen Foods,45.74,OUT049,1999,Medium,Tier 1,Supermarket Type1,780.98
DRF36,16.1,Low Fat,Low,Soft Drinks,189.38,OUT045,2002,NA,Tier 2,Supermarket Type1,3630.61
FDS45,12.6,Regular,High,Snack Foods,107.36,OUT019,1985,Small,Tier 1,Grocery Store,317.59
FDX40,12.85,Low Fat,High,Frozen Foods,39.72,OUT010,1998,NA,Tier 3,Grocery Store,231.7
DRK12,9.5,Low Fat,Low,Soft Drinks,32.99,OUT035,2004,Small,Tier 2,Supermarket Type1,133.16
DRC27,13.8,Low Fat,High,Dairy,245.18,OUT035,2004,Small,Tier 2,Supermarket Type1,5650.64
FDL58,5.78,Regular,High,Snack Foods,263.76,OUT017,2007,NA,Tier 2,Supermarket Type1,2636.57
NCD30,19.7,Low Fat,Low,Household,96.07,OUT045,2002,NA,Tier 2,Supermarket Type1,1272.34
NCZ54,14.65,Low Fat,High,Household,161.56,OUT010,1998,NA,Tier 3,Grocery Store,324.91
FDE10,6.67,Regular,High,Snack Foods,130.06,OUT010,1998,NA,Tier 3,Grocery Store,131.16
FDR44,6.11,Regular,High,Fruits and Vegetables,131.3,OUT010,1998,NA,Tier 3,Grocery Store,260.99
FDP28,13.65,Regular,High,Frozen Foods,260.09,OUT010,1998,NA,Tier 3,Grocery Store,260.99
FDX15,17.2,Low Fat,High,Meat,160.66,OUT013,1987,Large,Tier 3,Supermarket Type1,3690.53
FDA39,6.32,Low Fat,High,Meat,40.28,OUT035,2004,Small,Tier 2,Supermarket Type1,1139.18
FDY24,4.88,Regular,High,Baking Goods,52.93,OUT049,1999,Medium,Tier 1,Supermarket Type1,1995.4
FDC60,5.42,Regular,High,Baking Goods,88.35,OUT017,2007,NA,Tier 2,Supermarket Type1,1416.82
FDH28,15.85,Regular,High,Frozen Foods,37.25,OUT046,1997,Small,Tier 1,Supermarket Type1,265.65
FDT25,7.5,Low Fat,High,Canned,121.71,OUT017,2007,NA,Tier 2,Supermarket Type1,3552.71
DRJ13,12.65,Low Fat,High,Soft Drinks,161.56,OUT013,1987,Large,Tier 3,Supermarket Type1,2406.87
NCO07,12.6,Low Fat,Low,Others,211.96,OUT019,1985,Small,Tier 1,Grocery Store,213.06
FDW20,20.75,Low Fat,Low,Fruits and Vegetables,124.17,OUT013,1987,Large,Tier 3,Supermarket Type1,2956.15
DRF27,12.6,Low Fat,High,Dairy,152.13,OUT019,1985,Small,Tier 1,Grocery Store,153.13
FDS49,9.0,Low Fat,High,Canned,79.76,OUT035,2004,Small,Tier 2,Supermarket Type1,1649.85
FDX25,12.6,Low Fat,High,Canned,181.93,OUT027,1985,Medium,Tier 3,Supermarket Type3,3101.3
NCX42,12.6,Low Fat,Low,Household,165.65,OUT027,1985,Medium,Tier 3,Supermarket Type3,4769.13
FDG33,12.6,Regular,High,Seafood,170.48,OUT027,1985,Medium,Tier 3,Supermarket Type3,3435.53
FDL56,14.1,Low Fat,High,Fruits and Vegetables,86.42,OUT045,2002,NA,Tier 2,Supermarket Type1,1133.86
FDF14,7.55,Low Fat,Low,Canned,152.33,OUT035,2004,Small,Tier 2,Supermarket Type1,2603.28
NCD06,13.0,Low Fat,High,Household,45.41,OUT046,1997,Small,Tier 1,Supermarket Type1,605.88
DRM47,12.6,Low Fat,Low,Hard Drinks,192.88,OUT027,1985,Medium,Tier 3,Supermarket Type3,2293.02
FDS46,12.6,Regular,High,Snack Foods,118.78,OUT019,1985,Small,Tier 1,Grocery Store,119.18
